timestamp,inlet_t_c,inlet_p_barg,discharge_p_barg,discharge_t_c,flow_mbar,flow_m3ph,power_kW,valve_position_pct,speed_rpm,surge_line,surge_value,surge_speed_rpm
8/16/2015 6:23,30.41839409,8.059041977,26.13375854,113.5661926,129.7618561,5418.648926,5264.202148,0.001869706,3600,500,100,900
8/16/2015 6:33,30.36857986,8.038970947,26.18251801,113.4944611,130.4453735,5422.938477,5300.336426,0.046412449,3600,500,100,900
8/16/2015 6:44,30.38335991,8,26.06051254,113.5479889,127.8428955,5391.965332,5233.345703,0.082106449,3600,500,100,900
8/16/2015 6:54,30.2410202,7.940774918,26.05674362,113.4335251,128.7216339,5409.199219,5259.518066,0.073467903,3600,500,100,900
8/16/2015 7:04,30.3237915,8.038361549,26.14976311,113.3156052,130.8163605,5430.327148,5271.708496,0.03144132,3600,500,100,900
8/16/2015 7:15,30.32324219,8.042871475,26.0217247,113.5530777,128.9968109,5413.776855,5263.869141,0.084103979,3600,500,100,900
8/16/2015 7:25,30.26839066,8.027991295,26.14888191,113.3634415,131.0518951,5442.198242,5272.822266,0.051494513,3600,500,100,900
8/16/2015 7:35,31.08403587,8.082378387,26.1213398,113.8497849,129.9681091,5421.930176,5301.434082,0.038418844,3600,500,100,900
8/16/2015 7:46,30.93185043,8.011299133,26.11369514,113.901535,128.9402008,5411.839844,5287,0.035455126,3600,500,100,900
8/16/2015 7:56,31.12726212,8.082555771,26.24995232,114.0080795,129.968811,5418.250977,5272.555664,0.017883345,3600,500,100,900
8/16/2015 8:06,31.2345295,8.034791946,26.15052986,114.0616074,130.6685791,5427.270508,5300.412598,0.05877487,3600,500,100,900
8/16/2015 8:17,31.22694016,8.015839577,26.08654213,113.9551315,130.521698,5435.041992,5238.52002,0.037718385,3600,500,100,900
8/16/2015 8:27,31.24977112,8.01335907,26.144804,114.1107864,129.7359619,5421.359375,5262.736816,0.131804764,3600,500,100,900
8/16/2015 8:37,30.93139076,8.028263092,26.12500381,113.8062439,129.6900635,5426.256836,5231.481445,0.068240061,3600,500,100,900
8/16/2015 8:48,30.98460007,8.047956467,26.09768867,113.8590393,128.5247498,5403.722656,5281.188965,0.039279614,3600,500,100,900
8/16/2015 8:58,30.86178207,8.051901817,26.09580612,113.7975616,128.4360046,5398.540039,5246.858398,0.054855764,3600,500,100,900
8/16/2015 9:08,30.8593998,8.023929596,26.01634216,113.7907715,128.8976135,5417.456055,5261.812988,0.082535118,3600,500,100,900
8/16/2015 9:19,30.89874649,8.07747364,26.19358253,113.7723694,130.6111755,5428.223633,5265.613281,0.192482293,3600,500,100,900
8/16/2015 9:29,30.77226067,8.014194489,26.04603195,113.7114334,129.7283936,5420.567871,5222,0.160493746,3600,500,100,900
8/16/2015 9:39,31.10790062,8.086595535,26.19376755,113.9753647,127.6355591,5378.731934,5267.956543,0.047108859,3600,500,100,900
8/16/2015 9:50,30.75170517,8.030241013,26.05986595,113.7615585,129.5987091,5413.974121,5253,0.043542493,3600,500,100,900
8/16/2015 10:00,30.651968,8.022598267,26.07936668,113.6833267,129.1163025,5411.046875,5216.299805,0.014817576,3600,500,100,900
8/16/2015 10:10,30.6077404,8.019726753,26.15433502,113.6397629,129.3541107,5419.019531,5302.967285,0.030911641,3600,500,100,900
8/16/2015 10:21,30.93883133,8.080503464,26.12616158,113.8869781,128.7192688,5390.819336,5286.736816,0.005351694,3600,500,100,900
8/16/2015 10:31,31.0775013,8.030056953,25.94612122,114.0886002,127.8438492,5406.703613,5242.229004,0.092751786,3600,500,100,900
8/16/2015 10:41,30.70668411,8.061181068,26.0913868,113.7675247,128.1206207,5390.481445,5238.059082,0.036975611,3600,500,100,900
8/16/2015 10:52,30.41749001,8.09230423,26.08622742,113.6096115,128.4351044,5403.053223,5233.688965,0.073925547,3600,500,100,900
8/16/2015 11:02,30.70613861,8.086041451,26.06799316,113.7378082,128.7203369,5405.047363,5238.223633,0.158110172,3600,500,100,900
8/16/2015 11:12,30.45107841,8.015260696,26.09960747,113.6335754,129.3105011,5411.209961,5227.388184,0.028656436,3600,500,100,900
8/16/2015 11:23,30.59840965,8.033519745,26.09192657,113.7449188,128.713089,5401.261719,5270.776855,0.014951865,3600,500,100,900
8/16/2015 11:33,30.71179581,8.051779747,26.07651329,113.7053604,127.1483459,5378.955566,5264.658691,0.023184378,3600,500,100,900
8/16/2015 11:43,30.69215202,8.070038795,26.09516144,113.7090454,128.4625702,5395.251465,5218.65625,0.007441994,3600,500,100,900
8/16/2015 11:54,30.59757423,8.088297844,26.05874825,113.6588974,129.1547546,5413.547852,5235.553223,0.070475072,3600,500,100,900
8/16/2015 12:04,30.62104607,8.039403915,26.1596508,113.5691452,130.3833923,5427.667969,5241.888672,0.050521165,3600,500,100,900
8/16/2015 12:15,30.39793968,8.029704094,26.01867294,113.6276474,129.4955444,5416.088867,5298.369141,0.073151626,3600,500,100,900
8/16/2015 12:25,30.67623711,8.060413361,26.01891518,113.7913437,129.1634674,5418.269531,5239.07666,0.178547338,3600,500,100,900
8/16/2015 12:35,30.58619881,8.091121674,26.19284248,113.6237335,127.9089432,5380.536621,5236.415039,0.068710126,3600,500,100,900
8/16/2015 12:46,30.74590111,8.019266129,26.04068184,113.7044601,127.9932404,5401.931641,5258.708008,0.084460542,3600,500,100,900
8/16/2015 12:56,30.68016243,8.050577164,26.01770782,113.7510529,127.6838989,5392.309082,5265.31543,0.016309859,3600,500,100,900
8/16/2015 13:06,31.249506,8.081888199,26.15261078,113.9529724,128.8917542,5401.966309,5272.82666,0.068164401,3600,500,100,900
8/16/2015 13:17,31.0728035,8.039971352,26.12364197,114.0233231,129.7620697,5419.98877,5284.302246,0.098082379,3600,500,100,900
8/16/2015 13:27,31.53677177,8.032819748,26.00261497,114.4412231,128.7920837,5411.841797,5261.132813,0.081512585,3600,500,100,900
8/16/2015 13:37,30.68070412,8.099711418,26.13661575,113.6691666,129.3825836,5406.165527,5238.415527,0.042425994,3600,500,100,900
8/16/2015 13:48,30.49756432,7.915922165,25.92240906,113.6749802,127.9439163,5400.238281,5277.442383,0.081736147,3600,500,100,900
8/16/2015 13:58,30.40879059,8.022148132,26.00997353,113.6182404,127.6010437,5383.853516,5251.660156,0.039606959,3600,500,100,900
8/16/2015 14:08,30.46730232,8.058728218,26.14389038,113.6960373,128.5623322,5409.687012,5243.930176,0.021519775,3600,500,100,900
8/16/2015 14:19,30.37237358,8.095308304,26.10134506,113.5333557,129.6727905,5421.692383,5233.952637,0.01278308,3600,500,100,900
8/16/2015 14:29,30.42849731,7.98500061,26.19344139,113.5453262,129.216095,5405.375488,5260.864258,0.127432436,3600,500,100,900
8/16/2015 14:39,30.38183784,7.9240942,26.05859184,113.5431747,129.0610657,5406.189941,5235.464355,0.005789948,3600,500,100,900
8/16/2015 14:50,30.42345428,7.970598698,26.15092659,113.5445099,128.8721619,5392.269043,5287.348145,0.087673925,3600,500,100,900
8/16/2015 15:00,30.29543877,7.920212746,26.01224518,113.423317,128.7408142,5411.112305,5264.499023,0.081866197,3600,500,100,900
8/16/2015 15:10,30.76551437,8,26.03996277,113.5414505,128.5904541,5403.380859,5267.45459,0.080432735,3600,500,100,900
8/16/2015 15:21,30.6840477,7.999470711,26.11465263,113.9022598,130.2563782,5427.909668,5275.57959,0.028995765,3600,500,100,900
8/16/2015 15:31,30.31896973,7.921184063,26.08871841,113.5597153,128.0083313,5390.166992,5280,0.016707487,3600,500,100,900
8/16/2015 15:41,30.24430275,7.919761658,25.98641586,113.3073654,128.3634644,5400.025879,5261.159668,0.024364967,3600,500,100,900
8/16/2015 15:52,30.17662621,8.024850845,26.11969948,113.4948502,127.2327576,5377.69873,5258.757324,0.029714175,3600,500,100,900
8/16/2015 16:02,29.96174431,7.997184277,26.07534027,113.3594666,127.4721909,5384.708984,5248.791992,0.030828737,3600,500,100,900
8/16/2015 16:12,29.88001823,7.997626305,26.08989334,113.3299179,127.6512451,5385.28125,5256.70459,0.014243104,3600,500,100,900
8/16/2015 16:23,29.83833313,7.93206501,26.0800972,113.2995377,127.5846481,5384.898438,5265.151855,0.07948295,3600,500,100,900
8/16/2015 16:33,29.76319122,7.984052658,26.1574192,112.9524536,127.036171,5354.540527,5253.73877,0.052308843,3600,500,100,900
8/16/2015 16:43,29.70072556,7.987174511,26.20475197,113.0658569,128.8838501,5389.515137,5248.493652,0.007515854,3600,500,100,900
8/16/2015 16:54,29.85608482,7.956895351,26.07673454,113.2023239,126.8830719,5358.950684,5255.047363,0.042959586,3600,500,100,900
8/16/2015 17:04,29.74324989,7.990861893,26.13316917,113.2026443,128.5629272,5398.887695,5237.950684,0.077265941,3600,500,100,900
8/16/2015 17:14,29.99120331,7.943030357,26.13468361,113.3146057,129.2287292,5412.110352,5206.702148,0.050285514,3600,500,100,900
8/16/2015 17:25,29.96408844,7.992508888,26.08729935,113.5858002,127.1783142,5371.566406,5251.605957,0.017147848,3600,500,100,900
8/16/2015 17:35,29.68161774,7.978745461,26.04710388,113.2347794,127.5936661,5396.54541,5240.351563,0.007385636,3600,500,100,900
8/16/2015 17:45,29.9859314,7.960017681,26.18027115,113.3784943,127.791153,5377.805176,5251.930176,0.10982281,3600,500,100,900
8/16/2015 17:56,29.89818192,7.977367401,25.95436096,113.2614365,127.6591797,5388.163086,5224.760742,0.053395707,3600,500,100,900
8/16/2015 18:06,29.85322952,7.964327812,26.05195999,113.2917633,127.3267288,5387.788086,5191.925293,0.062672451,3600,500,100,900
8/16/2015 18:16,29.83981514,7.956676006,26.0669632,113.3889389,128.0209808,5390.419434,5275.11377,0.000442863,3600,500,100,900
8/16/2015 18:27,29.67219543,7.990947247,26.06143188,113.2360306,127.9005127,5391.995605,5236.224121,0.003298585,3600,500,100,900
8/16/2015 18:37,29.76187515,7.982698917,26.09295654,113.4418182,127.3925095,5379.387695,5238.615723,0.00397167,3600,500,100,900
8/16/2015 18:47,30.15423393,7.963741779,26.05599785,113.4509964,127.2627411,5378.858398,5249,0.025104377,3600,500,100,900
8/16/2015 18:58,30.14780807,7.944784641,26.12266159,113.4724579,127.6358795,5384.661133,5256.90918,0.01184818,3600,500,100,900
8/16/2015 19:08,30.13695145,7.925827503,26.03112221,113.5140533,127.8093033,5387.459473,5257.553223,0.075131021,3600,500,100,900
8/16/2015 19:18,30.29824829,7.906870365,26.09614372,113.5720825,128.8772125,5408.737305,5228.129395,0.020326136,3600,500,100,900
8/16/2015 19:29,30.24302292,7.938678741,26.06661987,113.5870209,128.0836487,5390.091309,5256,0.016236657,3600,500,100,900
8/16/2015 19:39,30.10850525,7.982462883,26.05567551,113.5500793,128.9875336,5414.0625,5267.567871,0.144324049,3600,500,100,900
8/16/2015 19:49,30.35107803,7.934317112,26.05986786,113.7138214,127.4039536,5379.086914,5289.628418,0.125518546,3600,500,100,900
8/16/2015 20:00,30.56466103,7.993032455,26.03521919,113.7720337,128.0159454,5393.46582,5227.07666,0.029501643,3600,500,100,900
8/16/2015 20:10,30.43692398,7.958287239,26.03819656,113.6859512,128.7239685,5406.760254,5233,0.054637086,3600,500,100,900
8/16/2015 20:20,30.50065804,7.923541546,26.06951523,113.7131195,127.8879623,5394.289551,5252.70166,0.084845558,3600,500,100,900
8/16/2015 20:31,30.1902523,8.010674477,26.05339241,113.6313019,127.7591934,5388.979492,5275.013184,0.045774326,3600,500,100,900
8/16/2015 20:41,30.47716522,8.05227375,26.03038788,113.7668076,127.3854675,5384.273438,5230.109375,0.08564204,3600,500,100,900
8/16/2015 20:51,30.77398109,8.093873024,26.14047813,114.1400528,127.1906357,5370.656738,5261.095215,0.040605217,3600,500,100,900
8/16/2015 21:02,30.81641006,7.97436142,26.07900238,114.0989227,127.4080582,5375.191406,5269.341797,0.014645923,3600,500,100,900
8/16/2015 21:12,30.6954174,7.940246582,26.04384422,113.8900146,127.5461273,5385.813477,5247.175293,0.060194328,3600,500,100,900
8/16/2015 21:22,30.78049469,7.906132221,25.97068405,113.8885651,129.0882111,5414.012695,5262.053711,0.034265757,3600,500,100,900
8/16/2015 21:33,30.72105408,8,26.0789299,113.7766571,129.1873932,5411.435547,5236.717285,0.066111937,3600,500,100,900
8/16/2015 21:43,30.51142693,7.998015404,25.99252701,113.6719894,128.0468292,5400.915527,5278.189941,0.002989491,3600,500,100,900
8/16/2015 21:53,30.27535057,7.93942976,26.05815697,113.6117859,129.3612061,5414.868652,5237,0.047021676,3600,500,100,900
8/16/2015 22:04,30.48689461,8,26.04842377,113.7551193,128.3328552,5395.657227,5271.923828,0.035176355,3600,500,100,900
8/16/2015 22:14,30.58453178,8.012721062,26.0501976,113.790802,128.3279572,5397.015137,5221.817871,0.081474468,3600,500,100,900
8/16/2015 22:24,30.61339951,7.97932291,26.0698204,113.8576736,127.9978561,5388.935547,5249.038086,0.050207291,3600,500,100,900
8/16/2015 22:35,30.60971451,7.906531811,25.91917038,113.9570084,126.156044,5368.120605,5255.431152,0.014938924,3600,500,100,900
8/16/2015 22:45,30.6575489,7.998483181,26.08502769,113.7780685,128.6433411,5401.926758,5242.393555,0.090476863,3600,500,100,900
8/16/2015 22:55,30.21183777,7.99366045,25.98295212,113.6926804,125.9747314,5361.681152,5230.392578,0.076169498,3600,500,100,900
